               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.028786,            0.016655,          0.00018964,             0.64796,             0.59176,             0.60035,              0.2887,            0.043983,            0.019967,          0.00024073,            0.008284,            0.008284,            0.008284
                  54,            0.028033,             0.01671,          0.00016368,             0.63157,             0.59666,             0.57549,             0.28095,            0.044007,            0.019952,          0.00021993,            0.008251,            0.008251,            0.008251
                  55,             0.02826,            0.016414,          0.00017691,             0.65174,             0.57802,             0.58932,             0.28439,            0.043384,            0.019986,          0.00023802,            0.008218,            0.008218,            0.008218
                  56,            0.027389,            0.015796,          0.00018148,             0.66875,             0.60157,              0.5947,             0.28728,            0.043374,            0.020249,          0.00027243,            0.008185,            0.008185,            0.008185
                  57,            0.026758,            0.015825,          0.00016192,             0.64568,             0.59373,             0.57439,             0.28922,            0.044494,            0.020877,          0.00028406,            0.008152,            0.008152,            0.008152
                  58,            0.027272,            0.016302,          0.00018549,             0.62271,             0.60353,             0.58547,             0.28404,            0.044254,            0.019752,          0.00027835,            0.008119,            0.008119,            0.008119
                  59,               0.027,             0.01536,          0.00015908,             0.61276,             0.63395,             0.60723,             0.29545,            0.044276,            0.020547,          0.00028741,            0.008086,            0.008086,            0.008086
                  60,            0.027205,            0.015727,          0.00018232,             0.64188,             0.61433,             0.59273,             0.29118,            0.044281,            0.020089,          0.00034138,            0.008053,            0.008053,            0.008053
                  61,            0.026635,            0.016015,          0.00017464,             0.63614,             0.60746,             0.57379,             0.28066,            0.043791,             0.02004,          0.00027342,             0.00802,             0.00802,             0.00802
                  62,            0.026585,            0.015345,          0.00014733,              0.6507,             0.58682,             0.58051,             0.28865,            0.044034,            0.020219,          0.00023636,            0.007987,            0.007987,            0.007987
                  63,            0.026718,            0.015722,          0.00016363,              0.6601,             0.58318,             0.58412,             0.28501,            0.044598,            0.020431,          0.00022421,            0.007954,            0.007954,            0.007954
                  64,            0.026475,            0.015414,          0.00016395,              0.6207,             0.60222,             0.57926,             0.28216,             0.04424,            0.020244,          0.00024495,            0.007921,            0.007921,            0.007921
